holder_id,nome,tipo,depositadas,concedidas,A_depositadas,A_concedidas,B_depositadas,B_concedidas,C_depositadas,C_concedidas,D_depositadas,D_concedidas,E_depositadas,E_concedidas,F_depositadas,F_concedidas,G_depositadas,G_concedidas,H_depositadas,H_concedidas,cluster
1101,DOW GLOBAL TECHNOLOGIES LLC,Company,2259,1377,148,72,543,351,1570,1040,63,42,20,14,26,12,38,21,115,87,7
17748,BASF SE,Company,2082,1013,587,317,309,170,1280,697,50,39,10,4,45,30,45,8,18,9,7
