holder_id,nome,tipo,depositadas,concedidas,A_depositadas,A_concedidas,B_depositadas,B_concedidas,C_depositadas,C_concedidas,D_depositadas,D_concedidas,E_depositadas,E_concedidas,F_depositadas,F_concedidas,G_depositadas,G_concedidas,H_depositadas,H_concedidas,num_colaboradores,is_foreign,cluster
23187,HUAWEI TECHNOLOGIES CO LTD,Company,2826,945,5,1,14,5,0,0,0,0,3,3,6,3,323,164,2389,744,58,1,4
79428,QUALCOMM INCORPORATED,Company,5141,1845,22,4,29,8,2,0,1,0,0,0,4,3,962,271,4186,1529,8,1,4
