holder_id,nome,tipo,depositadas,concedidas,A_depositadas,A_concedidas,B_depositadas,B_concedidas,C_depositadas,C_concedidas,D_depositadas,D_concedidas,E_depositadas,E_concedidas,F_depositadas,F_concedidas,G_depositadas,G_concedidas,H_depositadas,H_concedidas,num_colaboradores,is_foreign,cluster
2701,HALLIBURTON ENERGY SERVICES INC,Person,1360,732,2,1,20,11,135,59,0,0,988,596,77,50,305,115,34,18,93,1,3
2932,BAKER HUGHES INCORPORATED,Person,735,633,1,1,28,21,46,41,0,0,477,444,48,45,209,202,18,18,38,1,3
